var_0000, var_0001, var_0002, var_0003, var_0004, var_0005, var_0006, var_0007, var_0008, var_0009, var_0010, var_0011, var_0012, var_0013, var_0014, var_0015, var_0016, var_0017, var_0018, var_0019, is_anomaly,subspaces
0.38099299999999997,0.5067689999999999,0.0019945999999999996,0.321228,0.000966378,0.777031,0.31393899999999997,0.366709,0.1598,0.00495525,0.8370540000000001,0.81182,0.688513,-0.013699000000000001,0.470091,0.00326525,0.00148655,0.214141,0.329973,0.000496908,0,-
0.917726,-0.023299,0.8601709999999999,0.23053,0.502614,0.025499,0.621875,0.8708469999999999,0.534945,-0.00358513,0.0688888,0.299695,0.00627347,0.737218,-0.00450428,0.667353,0.0415853,-0.0074232,0.00566645,0.8816209999999999,0,-
0.421155,0.838943,-0.00308928,0.403211,0.736232,0.627189,0.00770513,0.00480991,0.9932559999999999,0.9988530000000001,0.8914700000000001,0.027493599999999997,-0.00392264,0.910437,0.559845,-0.00228169,0.017549099999999998,0.697114,0.9307989999999999,0.00995803,0,-
0.00360921,0.49568900000000005,0.564561,0.624626,-0.000740192,0.0508222,0.499362,0.422163,0.00876291,0.293806,0.675751,0.8151619999999999,0.581605,0.00595033,0.0207208,0.61102,0.8455969999999999,-0.00593523,0.5893079999999999,-0.00514204,0,-
0.8389629999999999,-0.00185007,0.710906,0.163893,0.278007,-0.0160331,0.5012989999999999,0.741661,0.292194,0.6239640000000001,-0.015335,0.593145,0.680305,-0.007376899999999999,-0.00524199,0.71462,-0.00278659,0.803337,-0.00525837,0.12347799999999999,0,-
0.5760430000000001,0.841541,-0.00484284,0.595123,-0.00771906,0.315395,0.040486699999999994,0.745696,0.739459,0.6826949999999999,0.5494439999999999,-0.014992700000000003,0.27013200000000004,0.0035616999999999997,-0.00828132,0.325833,0.35930300000000004,-0.00456821,0.0034012,0.07784169999999999,0,-
0.22254899999999997,0.9863290000000001,-0.00789925,0.26469000000000004,0.893091,0.00934588,-0.00800906,0.25077699999999997,0.18196500000000002,-0.000709902,0.190658,0.927823,0.526216,0.00493237,0.00397696,0.8046989999999999,0.00603697,0.176645,0.40369099999999997,0.00197511,0,-
-0.005196,0.210477,0.8508979999999999,-0.00839678,0.5444680000000001,0.777108,0.8969959999999999,0.285355,0.808645,0.0814307,-0.000589488,0.899286,-0.00372108,0.763987,-0.00357519,0.193228,0.836583,0.00494078,0.630413,-0.00733766,0,-
0.8943129999999999,0.00613507,0.5225920000000001,-0.00166852,0.7435229999999999,0.802826,0.6864899999999999,0.557786,0.7155020000000001,0.924218,0.0123048,0.657395,0.748868,0.00469345,0.211669,-0.0130072,-0.00975915,0.271923,0.280285,0.00934006,0,-
-0.000167288,0.912866,0.33555999999999997,0.293908,0.517353,0.00148776,0.553582,0.709709,0.718823,0.00257799,0.09372269999999999,0.47156800000000004,0.709023,-0.00902913,0.00676536,0.7608010000000001,-0.00755137,0.542994,0.6949529999999999,0.014269299999999999,0,-
