var_0000, var_0001, var_0002, var_0003, var_0004, var_0005, var_0006, var_0007, var_0008, var_0009,is_anomaly,subspaces
0.607567,0.0308274,-0.00946123,0.718158,0.0122838,0.440696,0.00111518,0.21555,-0.0009119369999999999,0.11093900000000001,0,-
0.970842,0.92663,-0.00824055,0.8192950000000001,-0.00651754,0.360628,0.7312529999999999,-0.0052551,0.00123031,0.136824,0,-
0.44572399999999995,-0.00309103,0.482468,0.272991,-0.0141474,0.0824703,-0.018794799999999997,0.962566,-0.00237304,0.223886,0,-
0.00690075,0.0545803,0.5778449999999999,0.11826800000000001,0.346637,-0.00273925,-0.00697714,0.84996,-0.00304836,0.9642129999999999,0,-
0.524358,0.9927959999999999,0.00972414,0.9431870000000001,0.645541,-0.00262386,-0.0171449,0.311732,0.253662,-0.00126751,0,-
0.72527,0.00052202,0.121734,0.406776,-0.00802467,0.105897,0.732297,0.005236,0.0133211,0.812895,0,-
0.559266,0.00120051,0.774216,0.890144,-0.00635042,0.902903,-0.00648282,0.343721,-0.0126511,0.594923,0,-
0.5545859999999999,0.8255379999999999,0.7443029999999999,0.00586101,0.00750101,0.574492,-0.0103895,0.859534,-0.0210208,0.7224149999999999,0,-
0.336241,-3.4200000000000005e-05,0.648045,0.294585,0.00960186,0.40187399999999995,-0.00728373,0.472329,0.00804929,0.76708,0,-
0.06360940000000001,0.7407060000000001,0.00996422,0.050354,0.9032950000000001,0.00793011,0.5829310000000001,0.00846141,0.00666615,0.364816,0,-
0.307438,0.028532400000000003,0.806733,0.307548,0.685778,0.00419351,0.713267,-0.0098817,0.531493,-0.0059247,0,-
-0.0061007,0.7699779999999999,0.162733,0.377565,-0.00833798,0.48484399999999994,0.66601,-0.00345564,-0.00125298,0.601979,0,-
0.536327,0.0594592,0.0906793,0.00679183,0.508093,0.00831751,0.8749100000000001,-0.00293737,0.302831,-0.0108674,0,-
0.00970936,0.355514,0.042862,0.581691,0.878331,0.00824284,0.199174,0.00207139,-4.59e-05,0.703137,0,-
0.386429,0.00292165,0.966181,0.0677066,-0.00042964,0.0672822,-0.0151694,0.804888,0.0107396,0.47438100000000005,0,-
-0.00799281,0.798788,0.698747,0.8481139999999999,0.935873,0.00159623,0.00195204,0.0230359,0.06607719999999999,0.0130207,0,-
-0.0101931,0.0396305,0.910632,0.258903,-0.0181593,0.540816,0.6253449999999999,-0.0203315,0.366314,0.014302200000000003,0,-
0.870878,0.936436,0.5610539999999999,-0.00336537,0.012504600000000001,0.362622,0.644796,-0.007056100000000001,-0.00373107,0.981484,0,-
0.9706309999999999,-0.0191088,0.973824,0.29641300000000004,0.269301,-0.014119299999999998,-0.00641924,0.672272,0.020649,0.5919760000000001,0,-
0.863448,0.443921,0.00290051,0.818928,0.00462489,0.307975,0.13052,-0.00321355,0.129469,0.00681424,0,-
0.0159735,0.262945,0.57796,0.9095340000000001,0.0122705,0.6983020000000001,0.0188976,0.532688,0.634301,-0.0008011089999999999,0,-
0.451454,0.282204,0.849281,0.0114318,0.000893128,0.25550900000000004,-0.00742677,0.358902,0.020628200000000003,0.274214,0,-
